Word,NumPostings,Percentage,Country,Search Term
Team,134,84.81012658227849,AUS,Data Scientist
Python,103,65.18987341772151,AUS,Data Scientist
Analytics,91,57.59493670886076,AUS,Data Scientist
SQL,72,45.56962025316456,AUS,Data Scientist
R,71,44.936708860759495,AUS,Data Scientist
Communication,66,41.77215189873418,AUS,Data Scientist
Stakeholders,61,38.607594936708864,AUS,Data Scientist
Statistics,60,37.9746835443038,AUS,Data Scientist
Analytical,59,37.34177215189873,AUS,Data Scientist
Research,56,35.443037974683534,AUS,Data Scientist
Client,54,34.17721518987341,AUS,Data Scientist
Degree,54,34.17721518987341,AUS,Data Scientist
Deep,50,31.645569620253173,AUS,Data Scientist
Cloud,45,28.481012658227854,AUS,Data Scientist
Algorithms,44,27.848101265822788,AUS,Data Scientist
Programming,44,27.848101265822788,AUS,Data Scientist
Mathematics,40,25.31645569620253,AUS,Data Scientist
Predictive,37,23.417721518987346,AUS,Data Scientist
Strategy,36,22.78481012658228,AUS,Data Scientist
Collaborative,32,20.253164556962027,AUS,Data Scientist
Written,31,19.620253164556967,AUS,Data Scientist
Production,30,18.9873417721519,AUS,Data Scientist
PhD,30,18.9873417721519,AUS,Data Scientist
Tableau,26,16.455696202531644,AUS,Data Scientist
Spark,25,15.822784810126587,AUS,Data Scientist
Marketing,24,15.189873417721516,AUS,Data Scientist
AWS,24,15.189873417721516,AUS,Data Scientist
Recommendations,23,14.556962025316455,AUS,Data Scientist
Communicate,23,14.556962025316455,AUS,Data Scientist
Java,23,14.556962025316455,AUS,Data Scientist
Collaborate,22,13.924050632911394,AUS,Data Scientist
Azure,22,13.924050632911394,AUS,Data Scientist
Sales,21,13.291139240506327,AUS,Data Scientist
Business Intelligence (BI),21,13.291139240506327,AUS,Data Scientist
Date,21,13.291139240506327,AUS,Data Scientist
Masters,20,12.658227848101266,AUS,Data Scientist
Hadoop,19,12.025316455696206,AUS,Data Scientist
ETL,19,12.025316455696206,AUS,Data Scientist
Deployment,19,12.025316455696206,AUS,Data Scientist
End-to-End,19,12.025316455696206,AUS,Data Scientist
Mining,19,12.025316455696206,AUS,Data Scientist
Integration,19,12.025316455696206,AUS,Data Scientist
Google,18,11.39240506329114,AUS,Data Scientist
Collaboration,18,11.39240506329114,AUS,Data Scientist
Database,18,11.39240506329114,AUS,Data Scientist
Finance,18,11.39240506329114,AUS,Data Scientist
Presentation,18,11.39240506329114,AUS,Data Scientist
Verbal,18,11.39240506329114,AUS,Data Scientist
Pipelines,18,11.39240506329114,AUS,Data Scientist
Visualization,17,10.759493670886075,AUS,Data Scientist
Insight,17,10.759493670886075,AUS,Data Scientist
Bachelor,17,10.759493670886075,AUS,Data Scientist
Reports,17,10.759493670886075,AUS,Data Scientist
